region_id,region_name,flower_png
133,Honduras,./figs/flower_Honduras.png
134,El Salvador,./figs/flower_ElSalvador.png
135,Mexico,./figs/flower_Mexico.png
136,Guatemala,./figs/flower_Guatemala.png
137,Ecuador,./figs/flower_Ecuador.png
138,Peru,./figs/flower_Peru.png
139,Venezuela,./figs/flower_Venezuela.png
140,Guadeloupe and Martinique,./figs/flower_GuadeloupeandMartinique.png
141,Faeroe Islands,./figs/flower_FaeroeIslands.png
143,Iceland,./figs/flower_Iceland.png
144,Jan Mayen,./figs/flower_JanMayen.png
145,Greenland,./figs/flower_Greenland.png
146,Pitcairn,./figs/flower_Pitcairn.png
147,French Polynesia,./figs/flower_FrenchPolynesia.png
148,Line Islands (Kiribati),./figs/flower_LineIslands(Kiribati).png
149,Jarvis Island,./figs/flower_JarvisIsland.png
150,Palmyra Atoll,./figs/flower_PalmyraAtoll.png
151,American Samoa,./figs/flower_AmericanSamoa.png
152,Samoa,./figs/flower_Samoa.png
153,Cook Islands,./figs/flower_CookIslands.png
154,Niue,./figs/flower_Niue.png
155,Tonga,./figs/flower_Tonga.png
156,Tokelau,./figs/flower_Tokelau.png
157,Phoenix Islands (Kiribati),./figs/flower_PhoenixIslands(Kiribati).png
158,Howland Island and Baker Island,./figs/flower_HowlandIslandandBakerIsland.png
159,Johnston Atoll,./figs/flower_JohnstonAtoll.png
161,Wallis and Futuna,./figs/flower_WallisandFutuna.png
162,New Zealand,./figs/flower_NewZealand.png
163,United States,./figs/flower_UnitedStates.png
164,Belize,./figs/flower_Belize.png
166,Jamaica,./figs/flower_Jamaica.png
167,Guyana,./figs/flower_Guyana.png
168,Suriname,./figs/flower_Suriname.png
169,French Guiana,./figs/flower_FrenchGuiana.png
171,Brazil,./figs/flower_Brazil.png
172,Argentina,./figs/flower_Argentina.png
173,Uruguay,./figs/flower_Uruguay.png
174,Finland,./figs/flower_Finland.png
175,Denmark,./figs/flower_Denmark.png
176,Germany,./figs/flower_Germany.png
177,Netherlands,./figs/flower_Netherlands.png
178,Poland,./figs/flower_Poland.png
179,France,./figs/flower_France.png
180,United Kingdom,./figs/flower_UnitedKingdom.png
181,Ireland,./figs/flower_Ireland.png
182,Spain,./figs/flower_Spain.png
183,Portugal,./figs/flower_Portugal.png
184,Italy,./figs/flower_Italy.png
185,Monaco,./figs/flower_Monaco.png
186,Montenegro,./figs/flower_Montenegro.png
187,Croatia,./figs/flower_Croatia.png
188,Slovenia,./figs/flower_Slovenia.png
189,Lithuania,./figs/flower_Lithuania.png
190,Qatar,./figs/flower_Qatar.png
191,Iran,./figs/flower_Iran.png
192,Iraq,./figs/flower_Iraq.png
193,Guinea Bissau,./figs/flower_GuineaBissau.png
194,Guinea,./figs/flower_Guinea.png
195,Ivory Coast,./figs/flower_IvoryCoast.png
196,Nigeria,./figs/flower_Nigeria.png
197,Cameroon,./figs/flower_Cameroon.png
198,Gabon,./figs/flower_Gabon.png
199,Democratic Republic of the Congo,./figs/flower_DemocraticRepublicoftheCongo.png
200,Angola,./figs/flower_Angola.png
202,Tanzania,./figs/flower_Tanzania.png
203,India,./figs/flower_India.png
